CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
12021,10,76,1-10-2018-076-01,1,1,RF,115,premiere cp672,P215/60R16,8EF1 FMHR0115,2,1,1,30.15290015,4,3
11889,13,106,1-13-2018-106-10,10,1,LF,887,Unknown,UNKNOWN,1.00E+13,99,9,9,23936.83678,7,3
11889,13,106,1-13-2018-106-10,10,1,LR,129,Sotozero Winter 210,P225/55R16,XTBM F125,5,0,1,23936.83678,7,3
11889,13,106,1-13-2018-106-10,10,1,RR,998,N5000,P225/55R16,8E6A 0606,4,0,1,23936.83678,7,3
12016,66,61,1-66-2018-061-10,10,2,LF,70,EAGLE RS-A,P245/55R18,M6DX JA2R1818,8,0,1,193.5147999,6,3
12016,66,61,1-66-2018-061-10,10,2,RF,70,EAGLE RS-A,P245/55R18,M6DX JA2R1818,8,0,1,193.5147999,6,3
12016,66,61,1-66-2018-061-10,10,2,LR,70,EAGLE RS-A,P245/55R18,M6DX JA2R1818,8,0,1,193.5147999,6,3
12016,66,61,1-66-2018-061-10,10,2,RR,70,EAGLE RS-A,P245/55R18,M6DX JA2R1818,8,0,1,193.5147999,6,3
12155,17,137,1-17-2018-137-06,6,2,LF,59,FR 710,P235/60R16,VN14 713 4617,5,1,1,663.5079243,4,3
12155,17,137,1-17-2018-137-06,6,2,RF,59,FR 710,P235/60R16,2RKU CKE 3617,6,0,1,663.5079243,4,3
12155,17,137,1-17-2018-137-06,6,2,LR,59,FR 710,P235/60R16,VN14 713 4617,6,0,1,663.5079243,4,3
12155,17,137,1-17-2018-137-06,6,2,RR,59,FR 710,P235/60R16,VN14 713 4617,6,0,1,663.5079243,4,3
12124,32,154,1-32-2018-154-03,3,3,LF,71,Road hugger,P235/50R18,CM5V 28C 3417,7,0,1,2718.555941,7,3
12124,32,154,1-32-2018-154-03,3,3,LR,71,Road hugger,P235/50R18,CM5V 28C 3117,7,0,1,2718.555941,7,3
12124,32,154,1-32-2018-154-03,3,3,RR,71,Road hugger,P235/50R18,CM5V 28C 3817,7,0,1,2718.555941,7,3
12124,32,154,1-32-2018-154-03,3,3,RF,71,Road hugger,P235/50R18,CM5V 28C 3717,7,0,1,2718.555941,7,3
11889,13,106,1-13-2018-106-10,10,1,RF,17,Turanza T001,P225/55R16,8C6A P8W 0412,3,0,1,23936.83678,7,3
11748,59,69,1-59-2018-069-03,3,2,LF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
11748,59,69,1-59-2018-069-03,3,2,RF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
11748,59,69,1-59-2018-069-03,3,2,LR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
11748,59,69,1-59-2018-069-03,3,2,RR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
12045,73,27,1-73-2018-027-10,10,1,LF,998,CHAMPOINT,P225/50R17,YJD8 BCB,2,0,1,719.8292152,3,3
12045,73,27,1-73-2018-027-10,10,1,LR,998,EXTREME GRIP,P225/50R17,53RH W16 3316,3,0,1,719.8292152,3,3
12045,73,27,1-73-2018-027-10,10,1,RR,998,EXTREME GRIP,P225/50R17,53RH W16,2,0,1,719.8292152,3,3
12045,73,27,1-73-2018-027-10,10,1,RF,998,CHAMPOINT,P225/50R17,1YJD8LWLY,4,0,1,719.8292152,3,3
12141,73,28,1-73-2018-028-07,7,1,LF,66,ALTIMAX RT43,P205/70R16,P558 WBLX,5,0,1,286.094232,3,3
12141,73,28,1-73-2018-028-07,7,1,RF,66,ALTIMAX RT43,P205/70R16,P558 WBLX3016,5,0,1,286.094232,3,3
12141,73,28,1-73-2018-028-07,7,1,LR,66,ALTIMAX RT43,P205/70R16,P558 WBLX,4,0,1,286.094232,3,3
12141,73,28,1-73-2018-028-07,7,1,RR,66,ALTIMAX RT43,P205/70R16,P558 WBLX,2,0,1,286.094232,3,3
11996,73,26,1-73-2018-026-04,4,1,LF,187,GEOLANDAR G055,P235/55R20,4UM9 6D1 3018,8,0,1,330.2842181,3,3
11996,73,26,1-73-2018-026-04,4,1,RF,187,GEOLANDAR G055,P235/55R20,4UM9 6D1 3216,6,0,1,330.2842181,3,3
11996,73,26,1-73-2018-026-04,4,1,RR,187,GEOLANDAR G055,P235/55R20,4UM9 6D1 3316,3,0,1,330.2842181,3,3
11996,73,26,1-73-2018-026-04,4,1,LR,187,GEOLANDAR G055,P235/55R20,4UM9 6D1 2516,5,0,1,330.2842181,3,3
11979,24,94,1-24-2018-094-09,9,1,LF,129,Four seasons,P205/65R15,XLM5 U0970517,4,0,1,795.8483207,1,3
11979,24,94,1-24-2018-094-09,9,1,RF,129,Four seasons,P205/65R15,XLM5 U0971118,8,0,1,795.8483207,1,3
11979,24,94,1-24-2018-094-09,9,1,LR,129,Four seasons,P205/65R15,XLM5 U0975216,9,0,1,795.8483207,1,3
11979,24,94,1-24-2018-094-09,9,1,RR,129,Four seasons,P205/65R15,XLM5 U0975216,6,0,1,795.8483207,1,3
11748,59,69,1-59-2018-069-03,3,3,LF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
11748,59,69,1-59-2018-069-03,3,3,RF,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
11748,59,69,1-59-2018-069-03,3,3,LR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
11748,59,69,1-59-2018-069-03,3,3,RR,999,Unknown,UNKNOWN,1.00E+13,99,0,9,210.6507725,6,3
12024,17,131,1-17-2018-131-05,5,1,LF,76,Optimo H724,P215/60R17,BCV3 HBH 2113,3,0,1,49.82021106,4,3
12024,17,131,1-17-2018-131-05,5,1,RF,76,Optimo H724,P215/60R17,BCV3 HBH 2113,3,0,1,49.82021106,4,3
12024,17,131,1-17-2018-131-05,5,1,LR,76,Optimo H724,P215/60R17,BCV3 HBH 1715,5,0,1,49.82021106,4,3
12024,17,131,1-17-2018-131-05,5,1,RR,76,Optimo H724,P215/60R17,BCV3 HBH,4,0,1,49.82021106,4,3
