CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
28172,10,1,1-10-2023-001-02,2,2,6,8,1,99,1,99,1,0,97,97,,,,,,,,,,,,,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,3,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,3,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,3,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,3,4,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,3,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,3,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28175,13,1,1-13-2023-001-04,4,1,1,1,1,99,1,0,1,0,0,50,9,9,1,19,-16,9,42716,998,23,0,1,1,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,1,3,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,1,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,1,5,8,1,99,1,0,1,0,97,97,9,9,1,19,-16,9,42716,998,23,0,1,1,2338.696424,7,8
28175,13,1,1-13-2023-001-04,4,1,6,8,1,99,1,0,1,0,97,97,,,,,,,,,,,,,2338.696424,7,8
