CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
31157,76,76,1-76-2023-076-03,3,1,289,504,200,2044,172,104,111,999,6,3.5,2,4,0,0,60,46.78468914,3,8
31160,28,72,1-28-2023-072-10,10,1,237,384,169,1403,147,62,77,999,6,4.0,9,3,9,0,99,37.47575523,3,8
31165,16,90,1-16-2023-090-03,3,1,267,448,186,1631,161,91,90,148,4,2.4,2,1,0,0,59,151.9432757,5,8
31165,16,90,1-16-2023-090-03,3,2,270,469,187,1649,162,99,100,160,4,1.5,2,4,0,0,57,151.9432757,5,8
31166,73,116,1-73-2023-116-09,9,1,269,465,180,1574,155,98,98,150,4,2.5,2,4,0,0,59,47.75260361,3,8
31168,73,118,1-73-2023-118-07,7,1,439,657,203,2970,173,97,121,180,8,6.2,2,3,0,1,99,63.21496934,3,8
29682,10,71,1-10-2023-071-06,6,1,280,494,185,1621,157,100,114,999,6,3.5,2,1,9,0,62,208.0837141,4,8
29682,10,71,1-10-2023-071-06,6,2,266,455,182,1524,156,87,102,999,4,2.5,2,1,9,0,57,208.0837141,4,8
29682,10,71,1-10-2023-071-06,6,3,270,469,188,1569,164,93,106,999,4,2.4,2,1,0,0,56,208.0837141,4,8
29685,13,58,1-13-2023-058-02,2,1,270,462,180,1280,156,92,101,999,4,2.0,2,1,0,0,61,26.83566663,7,8
29685,13,58,1-13-2023-058-02,2,2,365,573,203,2301,174,100,108,180,8,5.3,2,2,0,1,56,26.83566663,7,8
29699,52,51,1-52-2023-051-01,1,1,276,458,177,1600,151,76,110,148,6,3.0,2,4,0,0,53,21.48174966,12,8
29705,52,53,1-52-2023-053-01,1,1,250,445,171,1126,144,97,99,999,4,2.0,9,1,9,0,99,21.48174966,12,8
29705,52,53,1-52-2023-053-01,1,2,424,643,202,2974,182,101,118,184,8,6.6,2,3,0,1,60,21.48174966,12,8
29713,26,54,1-26-2023-054-08,8,1,258,455,178,1465,151,90,108,160,5,2.5,2,1,0,1,60,729.9564324,10,8
29739,59,51,1-59-2023-051-03,3,1,290,498,198,1957,170,95,113,168,4,3.8,2,1,0,0,56,110.4672555,6,8
29762,13,63,1-13-2023-063-03,3,1,252,410,176,1370,152,85,75,999,3,1.0,2,1,0,0,59,253.3412958,7,8
29768,52,56,1-52-2023-056-09,9,1,262,458,173,1261,149,96,100,136,4,2.2,2,1,0,0,59,172.4039086,12,8
29788,66,32,1-66-2023-032-09,9,1,269,455,186,1792,159,96,91,999,4,2.3,2,4,9,0,57,198.7188951,6,8
31168,73,118,1-73-2023-118-07,7,2,273,480,183,1476,155,98,110,999,4,2.4,2,1,0,0,61,63.21496934,3,8
31169,73,119,1-73-2023-119-06,6,1,368,584,203,2081,172,96,120,999,6,3.5,9,9,9,0,58,37.98103991,3,8
31171,32,127,1-32-2023-127-02,2,1,270,464,176,1315,152,94,100,160,4,2.0,2,1,0,0,61,27.42956109,7,8
31171,32,127,1-32-2023-127-02,2,2,267,436,181,1415,153,93,75,999,4,2.0,2,1,9,0,59,27.42956109,7,8
