CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
20326,29,178,1-29-2020-178-06,6,1,RF,156,TOUR PLUS LST,P215/60R16,R8F1 DMMR0916,3,0,1,214.169243522214,2,5
20326,29,178,1-29-2020-178-06,6,1,RR,156,TOUR PLUS LST,P215/60R16,R8F1 DMMR0916,7,0,1,214.169243522214,2,5
20326,29,178,1-29-2020-178-06,6,1,LR,156,TOUR PLUS LST,P215/60R16,R8F1 3MMR2416,7,0,1,214.169243522214,2,5
20326,29,178,1-29-2020-178-06,6,1,LF,156,TOUR PLUS LST,P215/60R16,R8F1 DMMR0916,4,1,1,214.169243522214,2,5
20299,16,127,1-16-2020-127-01,1,1,RR,119,FP0612A15,P235/65R16,R8A4 3MWR2320,7,0,1,96.5185960824772,5,5
20299,16,127,1-16-2020-127-01,1,1,RF,47,All Season,P235/65R16,MD46 KC1R4718,4,0,1,96.5185960824772,5,5
20299,16,127,1-16-2020-127-01,1,1,LF,998,Kenetica,P235/65R16,X3NT ANA 4417,1,1,1,96.5185960824772,5,5
20299,16,127,1-16-2020-127-01,1,1,LR,47,All Season,P235/65R16,MD46 KC1R4718,3,0,1,96.5185960824772,5,5
20349,24,198,1-24-2020-198-02,2,1,LF,30,adventure h/t,P265/70R16,UTC2 1HL,10,0,1,51.1048636670883,1,5
20349,24,198,1-24-2020-198-02,2,1,LR,30,adventure h/t,P265/70R16,UTC2 1HL,10,0,1,51.1048636670883,1,5
20349,24,198,1-24-2020-198-02,2,1,RF,30,adventure h/t,P265/70R16,UTC2 1HL,11,0,1,51.1048636670883,1,5
20349,24,198,1-24-2020-198-02,2,1,RR,30,adventure h/t,P265/70R16,UTC2 1HL,10,0,1,51.1048636670883,1,5
20356,25,138,1-25-2020-138-06,6,2,LR,66,ALTIMAX ARCTIC12,P205/55R16,CP0F WCF0,8,0,1,104.74052840729,2,5
20356,25,138,1-25-2020-138-06,6,2,RR,66,ALTIMAX ARCTIC12,P205/55R16,CP0F WCF02217,8,0,1,104.74052840729,2,5
20356,25,138,1-25-2020-138-06,6,2,RF,66,ALTIMAX ARCTIC12,P205/55R16,CP0F WCF02217,8,1,1,104.74052840729,2,5
