CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
20071,28,94,1-28-2020-094-06,6,1,1,3,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,12947,206.243950739062,3,5
20060,52,192,1-52-2020-192-06,6,1,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,11026,132.191539458851,12,5
20062,52,194,1-52-2020-194-07,7,1,1,2,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 21.1.1,1,13489,430.984013459252,12,5
20075,25,131,1-25-2020-131-03,3,1,1,2,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,4342,735.732145903341,2,5
20059,52,191,1-52-2020-191-04,4,1,1,5,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,6455,212.017832597395,12,5
20062,52,194,1-52-2020-194-07,7,2,1,2,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,999997,430.984013459252,12,5
20061,52,193,1-52-2020-193-09,9,1,1,1,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,31127,412.321535291393,12,5
20077,59,63,1-59-2020-063-08,8,1,1,1,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,40792,1405.16821001253,6,5
20074,13,114,1-13-2020-114-06,6,2,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,17849,1350.9110245363,7,5
20076,25,132,1-25-2020-132-02,2,1,1,2,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,11363,59.1159550075368,2,5
19437,32,156,1-32-2020-156-07,7,1,1,3,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,17823,3016.65013536871,7,5
19431,13,99,1-13-2020-099-04,4,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,4179,7396.63334893151,7,5
19436,32,155,1-32-2020-155-08,8,1,1,2,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,34898,433.114470813679,7,5
19444,66,73,1-66-2020-073-04,4,1,1,3,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,5651,197.598116928303,6,5
19445,12,82,1-12-2020-082-01,1,2,1,2,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,25616,296.706772476185,9,5
19446,12,83,1-12-2020-083-07,7,1,1,0,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,1934.75028512303,9,5
19441,27,76,1-27-2020-076-06,6,1,1,4,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,999997,62.615694203874,3,5
19442,27,77,1-27-2020-077-04,4,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,4210,104.750831710302,3,5
19450,31,70,1-31-2020-070-04,4,1,1,0,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,569.702757395356,6,5
19459,76,78,1-76-2020-078-02,2,1,1,2,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 21.1.1,1,2339,14.8756328479644,3,5
19459,76,78,1-76-2020-078-02,2,2,1,4,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,7397,14.8756328479644,3,5
19462,26,145,1-26-2020-145-06,6,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.3,1,13567,2209.38584960684,10,5
19460,18,74,1-18-2020-074-05,5,1,1,1,Crash Data Retrieval Tool 19.5.2,Crash Data Retrieval Tool 19.5.3,1,11788,57.4865885735629,6,5
