CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6431,32,16,1-32-2017-016-07,7,2,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,2260,4484.46946452231,7,2
6425,23,13,1-23-2017-013-03,3,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,10193,85.0315432743198,5,2
6432,16,15,1-16-2017-015-07,7,1,1,2,Crash Data Retrieval Tool 17.1,Crash Data Retrieval Tool 18.0.2,1,9778,734.998719461866,5,2
6438,12,9,1-12-2017-009-06,6,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,2,999998,1810.24026052966,9,2
6423,11,3,1-11-2017-003-03,3,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,1931,2276.03898279806,8,2
6435,24,16,1-24-2017-016-03,3,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6474,427.577486399433,1,2
6441,17,14,1-17-2017-014-04,4,2,1,0,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,999998,2564.73694398389,4,2
6442,21,8,1-21-2017-008-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,14828,708.688785823217,11,2
6442,21,8,1-21-2017-008-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,25891,708.688785823217,11,2
6443,16,17,1-16-2017-017-03,3,3,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,215.084301581733,5,2
6445,13,15,1-13-2017-015-03,3,3,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,999998,1777.44237550816,7,2
6451,33,14,1-33-2017-014-03,3,1,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,5161,138.480705828584,12,2
6452,33,15,1-33-2017-015-03,3,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,8837,138.480705828584,12,2
6439,19,23,1-19-2017-023-05,5,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,19491,89.4645054440963,9,2
6450,18,9,1-18-2017-009-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8249,257.06934486803,6,2
6448,22,18,1-22-2017-018-06,6,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,999998,156.071189007572,12,2
6455,20,16,1-20-2017-016-06,6,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,18633,278.965886520453,11,2
6456,15,9,1-15-2017-009-03,3,1,1,0,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,999998,657.51132098465,1,2
