CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
6893,28,20,1-28-2017-020-03,3,1,B,1,4,1,999,9,9,444.763935195519,3,2
8214,13,98,1-13-2017-098-03,3,1,B,1,3,1,101,98,9,615.701319778547,7,2
7097,28,26,1-28-2017-026-02,2,1,D,1,2,1,999,98,9,81.1371710278704,3,2
8825,20,154,1-20-2017-154-05,5,1,C,1,1,1,101,2,9,37.3161505322178,11,2
8220,22,106,1-22-2017-106-09,9,1,F,1,1,1,999,2,9,1949.08373954124,12,2
8830,24,136,1-24-2017-136-04,4,1,A,1,24,1,849,3,2,1137.69106047737,1,2
8891,32,153,1-32-2017-153-02,2,1,B,1,24,1,841,3,2,57.7373547747206,7,2
8810,17,92,1-17-2017-092-08,8,2,B,1,3,1,101,3,2,265.668325446656,4,2
8811,18,71,1-18-2017-071-09,9,1,A,1,24,1,841,3,2,9984.70215625247,6,2
8335,24,116,1-24-2017-116-03,3,2,D,1,25,1,849,3,2,188.36871004772,1,2
8199,25,37,1-25-2017-037-03,3,1,D,1,20,2,101,3,2,200.659661556227,2,2
8199,25,37,1-25-2017-037-03,3,1,E,1,26,2,842,3,2,200.659661556227,2,2
8065,12,52,1-12-2017-052-03,3,1,A,1,5,1,841,3,2,798.339561355582,9,2
8252,19,114,1-19-2017-114-02,2,2,C,1,23,2,999,3,2,102.089013427492,9,2
8252,19,114,1-19-2017-114-02,2,2,D,1,13,2,999,3,2,102.089013427492,9,2
8468,24,124,1-24-2017-124-04,4,1,B,1,24,1,841,3,2,856.234407725329,1,2
8083,21,56,1-21-2017-056-03,3,1,B,1,24,1,841,3,2,350.409114778015,11,2
8244,32,119,1-32-2017-119-02,2,1,B,1,25,1,842,3,2,180.921250646427,7,2
8238,28,57,1-28-2017-057-09,9,1,C,1,24,1,849,3,2,1854.6392137218,3,2
8469,12,63,1-12-2017-063-03,3,2,A,1,24,1,841,3,2,597.196140553709,9,2
8469,12,63,1-12-2017-063-03,3,2,B,1,24,1,841,3,2,597.196140553709,9,2
8482,32,130,1-32-2017-130-02,2,4,E,1,7,1,842,3,2,122.372938852714,7,2
8588,18,65,1-18-2017-065-06,6,1,A,1,23,2,841,3,2,839.605650916444,6,2
8618,12,67,1-12-2017-067-04,4,1,A,1,4,1,401,3,2,952.928535763813,9,2
8670,24,130,1-24-2017-130-03,3,1,B,1,21,1,762,3,2,298.371088921662,1,2
8755,32,142,1-32-2017-142-05,5,1,G,1,25,2,841,3,2,148.735557783776,7,2
8565,19,126,1-19-2017-126-06,6,2,A,1,24,1,841,3,2,1056.58876099266,9,2
8679,12,69,1-12-2017-069-03,3,1,A,1,24,1,851,3,2,1450.54178421601,9,2
8679,12,69,1-12-2017-069-03,3,1,B,1,24,1,851,3,2,1450.54178421601,9,2
8786,10,63,1-10-2017-063-02,2,1,A,1,24,1,851,3,2,22.4619736210346,4,2
8786,10,63,1-10-2017-063-02,2,1,B,1,24,1,852,3,2,22.4619736210346,4,2
8786,10,63,1-10-2017-063-02,2,1,D,1,26,2,851,3,2,22.4619736210346,4,2
8786,10,63,1-10-2017-063-02,2,1,E,1,26,2,852,3,2,22.4619736210346,4,2
8505,17,85,1-17-2017-085-05,5,1,B,1,4,1,401,3,2,79.3160795605285,4,2
8505,17,85,1-17-2017-085-05,5,1,C,1,24,1,842,3,2,79.3160795605285,4,2
8806,31,48,1-31-2017-048-09,9,1,B,1,24,1,842,3,2,5792.34519201867,6,2
8508,18,62,1-18-2017-062-03,3,2,A,1,24,1,851,3,2,400.871375698317,6,2
8508,18,62,1-18-2017-062-03,3,2,B,1,24,1,842,3,2,400.871375698317,6,2
