CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
7236,15,32,1-15-2017-032-03,3,2,1,1,1,0.00,0.00,7,0,4.00,4.00,4.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,503.308139879898,1,2
7685,15,53,1-15-2017-053-02,2,1,1,1,0,9995.00,9995.00,7,8,41.00,41.00,41.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,0,8,9995.00,250.00,250.00,9997.00,9997.00,7,5,7,11.5367659147207,1,2
8178,15,80,1-15-2017-080-03,3,2,1,1,1,51.00,81.00,7,8,53.00,53.00,51.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,51.00,53.00,51.00,9997.00,9997.00,7,5,7,118.95607927728,1,2
7345,10,31,1-10-2017-031-04,4,1,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,0,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,2,7,1650.22234645847,4,2
6409,13,13,1-13-2017-013-05,5,1,1,4,7,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,7,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,262.308352012858,7,2
6409,13,13,1-13-2017-013-05,5,1,1,2,1,47.00,147.00,7,8,9997.00,9995.00,43.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9997.00,9995.00,43.00,9997.00,9997.00,7,4,7,262.308352012858,7,2
6409,13,13,1-13-2017-013-05,5,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,262.308352012858,7,2
6409,13,13,1-13-2017-013-05,5,1,1,3,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,262.308352012858,7,2
6835,13,33,1-13-2017-033-02,2,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,2,7,65.3942572948334,7,2
6835,13,33,1-13-2017-033-02,2,1,1,1,1,20.00,50.00,7,8,9997.00,9997.00,20.00,9997.00,9997.00,0,7,7,1,20.00,30.00,7,8,9997.00,9997.00,20.00,9997.00,9997.00,7,2,7,65.3942572948334,7,2
6990,13,41,1-13-2017-041-02,2,1,1,3,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,0,7,114.879706845688,7,2
6990,13,41,1-13-2017-041-02,2,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,785.00,9997.00,9997.00,7,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,785.00,9997.00,9997.00,7,2,7,114.879706845688,7,2
6990,13,41,1-13-2017-041-02,2,1,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,6.00,9997.00,9997.00,7,7,7,1,9997.00,9997.00,7,8,6.00,6.00,6.00,9997.00,9997.00,7,2,7,114.879706845688,7,2
7611,13,66,1-13-2017-066-05,5,2,1,1,1,27.50,177.50,7,8,9997.00,9997.00,24.50,24.50,29.50,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,5,7,101.762535648221,7,2
8364,13,105,1-13-2017-105-04,4,3,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,3707.61002789913,7,2
8364,13,105,1-13-2017-105-04,4,3,1,1,1,27.50,43.50,7,8,9997.00,9997.00,10.50,10.50,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,3707.61002789913,7,2
8962,13,125,1-13-2017-125-03,3,2,1,1,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,3,7,1036.63662966674,7,2
8962,13,125,1-13-2017-125-03,3,2,1,2,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,1036.63662966674,7,2
6457,26,9,1-26-2017-009-09,9,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1739.3713528073,10,2
7582,26,45,1-26-2017-045-03,3,1,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9997.00,9997.00,9997.00,7,7,7,382.1517345174,10,2
7582,26,45,1-26-2017-045-03,3,1,1,1,1,26.00,29.00,7,8,9995.00,9995.00,26.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,26.00,9997.00,9997.00,7,7,7,382.1517345174,10,2
8802,26,77,1-26-2017-077-03,3,1,1,2,1,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,7,7,7,544.569920310641,10,2
8802,26,77,1-26-2017-077-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,7,7,7,544.569920310641,10,2
7379,22,70,1-22-2017-070-07,7,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,7,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,329.793588859125,12,2
