CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
14509,59,55,1-59-2019-055-02,2,1,4,159.325799516233,6,4
14512,28,42,1-28-2019-042-03,3,1,9,169.284877782637,3,4
14642,52,40,1-52-2019-040-09,9,1,1,668.411870604685,12,4
14932,19,52,1-19-2019-052-06,6,1,1,76.6703961070107,9,4
14933,19,53,1-19-2019-053-07,7,1,99,241.312203323618,9,4
14801,18,48,1-18-2019-048-09,9,1,6,521.840949324331,6,4
14805,30,80,1-30-2019-080-03,3,1,1,720.899325239836,10,4
14745,21,88,1-21-2019-088-03,3,1,9,136.799721019231,11,4
14724,27,52,1-27-2019-052-04,4,1,9,387.412231544467,3,4
14725,27,53,1-27-2019-053-03,3,1,1,97.9321161290741,3,4
14728,19,46,1-19-2019-046-03,3,1,3,565.321654999234,9,4
14729,22,70,1-22-2019-070-07,7,1,9,248.972898146673,12,4
14732,31,55,1-31-2019-055-03,3,1,2,1208.55227315757,6,4
14734,17,100,1-17-2019-100-10,10,1,9,2514.62326892499,4,4
14695,54,28,1-54-2019-028-06,6,1,10,460.1044935838,9,4
14527,76,35,1-76-2019-035-02,2,1,1,18.1164349077004,3,4
14446,59,54,1-59-2019-054-02,2,1,9,73.6841192868472,6,4
14344,25,50,1-25-2019-050-03,3,1,7,205.988653767572,2,4
14710,16,57,1-16-2019-057-10,10,1,10,6288.84671433219,5,4
14687,66,51,1-66-2019-051-06,6,2,8,126.563264397582,6,4
14688,66,52,1-66-2019-052-03,3,2,8,117.089255410997,6,4
14690,48,48,1-48-2019-048-04,4,1,9,973.020017593073,12,4
