CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
12687,30,10,1-30-2019-010-03,3,2,281,478,188,1685,160,92,105,160,8,6.2,2,2,0,1,154.857042578154,10,4
12684,31,5,1-31-2019-005-07,7,1,305,508,191,1929,162,92,110,150,8,5.7,2,2,0,0,276.905591523354,6,4
12656,13,4,1-13-2019-004-06,6,1,260,446,170,1079,148,83,103,150,4,1.6,9,1,0,0,444.047563029028,7,4
12656,13,4,1-13-2019-004-06,6,2,280,494,185,1621,157,100,114,156,6,3.5,2,1,0,0,444.047563029028,7,4
12657,13,5,1-13-2019-005-03,3,1,267,466,180,1460,154,96,103,148,4,2.4,2,1,0,0,359.454085576585,7,4
12691,20,5,1-20-2019-005-03,3,1,278,491,185,1496,158,98,114,150,4,2.4,2,1,9,0,157.906199121229,11,4
12690,59,9,1-59-2019-009-02,2,1,270,464,178,1290,152,97,98,150,4,1.8,2,1,0,0,140.621597643263,6,4
12690,59,9,1-59-2019-009-02,2,2,285,478,193,1841,165,97,98,999,4,2.0,2,4,0,0,140.621597643263,6,4
12690,59,9,1-59-2019-009-02,2,3,298,493,195,1882,999,92,106,999,8,5.7,2,3,0,0,140.621597643263,6,4
12690,59,9,1-59-2019-009-02,2,4,312,490,165,1270,142,78,101,999,6,4.3,2,2,0,0,140.621597643263,6,4
12692,26,8,1-26-2019-008-02,2,1,257,426,180,1487,154,88,81,150,4,2.4,2,4,0,0,41.7668957553833,10,4
12651,28,3,1-28-2019-003-01,1,1,260,430,170,1235,148,91,80,146,4,1.8,2,1,0,0,63.5071801125526,3,4
12698,24,7,1-24-2019-007-03,3,1,270,452,188,1323,155,91,91,170,4,1.5,2,1,0,0,242.337441659876,1,4
12701,73,3,1-73-2019-003-08,8,1,312,520,173,1721,142,90,118,150,6,4.3,2,2,0,0,142.571031251738,3,4
12695,11,7,1-11-2019-007-05,5,1,308,514,200,2115,166,95,111,180,6,3.6,2,1,0,0,253.455795906353,8,4
12702,28,4,1-28-2019-004-08,8,1,331,555,182,2041,160,99,125,166,6,3.7,2,3,0,1,98.1045053887226,3,4
12696,11,8,1-11-2019-008-02,2,1,284,484,178,1834,149,89,112,154,6,4.0,2,3,0,0,103.545084106156,8,4
12696,11,8,1-11-2019-008-02,2,2,368,584,203,2081,172,96,120,180,6,3.5,2,3,0,0,103.545084106156,8,4
12695,11,7,1-11-2019-007-05,5,2,280,482,184,1580,160,94,108,150,4,2.4,2,1,0,0,253.455795906353,8,4
12706,12,8,1-12-2019-008-04,4,1,277,498,185,1563,157,109,113,999,6,3.8,2,1,0,0,2113.30005715441,9,4
12706,12,8,1-12-2019-008-04,4,2,305,504,191,1785,161,89,110,156,6,3.6,2,2,0,0,2113.30005715441,9,4
12700,77,7,1-77-2019-007-03,3,1,267,426,180,1529,156,79,80,150,3,1.5,2,4,0,0,752.685726774883,9,4
