CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
12510,54,1,1-54-2019-001-06,6,1,6,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,7,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,8,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,9,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,10,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,11,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,12,0,8,880.16844999361,9,4
12511,73,1,1-73-2019-001-06,6,1,1,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,2,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,3,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,4,1,1,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,5,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,6,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,7,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,8,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,9,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,10,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,11,0,8,267.702349067211,3,4
12511,73,1,1-73-2019-001-06,6,1,12,0,8,267.702349067211,3,4
12514,27,1,1-27-2019-001-06,6,2,1,0,8,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,2,1,9,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,3,0,8,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,4,1,9,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,5,1,2,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,6,0,8,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,7,0,8,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,8,0,8,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,9,0,8,127.195256322696,3,4
