CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
20354,52,2,1-52-2021-002-03,3,1,1,3,2nd Prior Event,1,5409,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,26.594650862345,12,6
20354,52,2,1-52-2021-002-03,3,1,1,1,Most Recent Event,95,5409,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,26.594650862345,12,6
20479,52,3,1-52-2021-003-04,4,2,1,1,First Record,1,3180,0,1,0.0000,1,9997.0000,-17.4846,300.0000,997.0000,9997.0000,50.2347317647969,12,6
20483,52,7,1-52-2021-007-07,7,1,1,1,Event Record 1,1,12990,0,1,9997.0000,1,9997.0000,-12.8800,136.0000,1.6100,116.0000,91.6122267082467,12,6
20483,52,7,1-52-2021-007-07,7,2,1,1,First Record,1,18757,0,1,9997.0000,1,9997.0000,-18.8048,130.0000,4.1699,139.0000,91.6122267082467,12,6
20514,52,9,1-52-2021-009-06,6,2,1,2,1st Prior Event,1,14705,0,1,0.0000,0,9997.0000,-32.0390,120.0000,36.0640,122.0000,39.5774749374467,12,6
20514,52,9,1-52-2021-009-06,6,2,1,1,Most Recent Event,2,14705,0,2,0.8000,0,9997.0000,-32.0390,88.0000,4.0250,42.0000,39.5774749374467,12,6
20598,52,13,1-52-2021-013-04,4,1,1,1,First Record,1,2575,0,1,0.0000,1,9997.0000,-4.5885,288.5000,997.0000,9997.0000,51.735005042951,12,6
20600,52,15,1-52-2021-015-07,7,1,1,1,Event 1,1,16747,0,0,9997.0000,1,170.0000,-17.7100,170.0000,0.0000,170.0000,94.3482495922963,12,6
20846,52,23,1-52-2021-023-09,9,1,1,1,Event Record 1,3,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,348.439134397927,12,6
20846,52,23,1-52-2021-023-09,9,2,1,1,Event 1,1,15126,0,0,9997.0000,1,90.0000,-6.4400,90.0000,-14.4900,90.0000,348.439134397927,12,6
20848,52,25,1-52-2021-025-05,5,2,1,1,Most Recent Event,3,9024,0,2,0.6000,1,9997.0000,-28.0140,128.0000,-1.9320,38.0000,21.8811839095746,12,6
20848,52,25,1-52-2021-025-05,5,2,1,2,1st Prior Event,1,9024,0,1,9995.0000,0,9997.0000,-6.9230,92.0000,-1.9320,42.0000,21.8811839095746,12,6
21003,52,31,1-52-2021-031-06,6,1,1,1,Event 1,1,18211,0,1,9997.0000,1,140.0000,-28.9800,140.0000,-12.8800,140.0000,24.1567650371368,12,6
20759,76,8,1-76-2021-008-04,4,1,1,1,Event Record 1,1,4817,0,1,9997.0000,1,9997.0000,-9.6600,192.0000,-12.8800,70.0000,43.7646309414867,3,6
20341,77,1,1-77-2021-001-02,2,1,1,3,Record 3,3,3753,1,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,104.8752156361,9,6
20341,77,1,1-77-2021-001-02,2,1,1,2,Record 2,3,3753,0,2,1.9500,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,104.8752156361,9,6
20341,77,1,1-77-2021-001-02,2,1,1,1,Record 1,95,3753,0,1,9997.0000,1,304.0000,-28.0140,304.0000,4.0250,160.0000,104.8752156361,9,6
20407,77,2,1-77-2021-002-01,1,2,1,6,5th Prior Event,97,15606,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,159.868254159889,9,6
20407,77,2,1-77-2021-002-01,1,2,1,5,4th Prior Event,1,15765,0,97,9997.0000,1,9997.0000,-52.0030,143.0000,997.0000,9997.0000,159.868254159889,9,6
20407,77,2,1-77-2021-002-01,1,2,1,3,2nd Prior Event,3,15765,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,159.868254159889,9,6
20407,77,2,1-77-2021-002-01,1,2,1,4,3rd Prior Event,1,15765,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,159.868254159889,9,6
20407,77,2,1-77-2021-002-01,1,2,1,1,Most Recent Event,2,15765,0,97,9997.0000,1,9997.0000,9.4990,123.0000,997.0000,9997.0000,159.868254159889,9,6
20407,77,2,1-77-2021-002-01,1,2,1,2,1st Prior Event,2,15765,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,159.868254159889,9,6
20564,77,5,1-77-2021-005-03,3,2,1,1,Event Record 1,1,1038,0,1,9997.0000,1,9997.0000,24.9550,152.5000,-0.9660,300.0000,268.154715783789,9,6
20593,77,7,1-77-2021-007-03,3,1,1,1,Event Record 1,1,9295,0,1,9997.0000,1,9997.0000,-9.9820,170.0000,-15.9390,138.0000,398.047335851815,9,6
20675,77,8,1-77-2021-008-02,2,1,1,3,2nd Prior Event,97,4195,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,86.1478225129126,9,6
20675,77,8,1-77-2021-008-02,2,1,1,4,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-13.8460,125.5000,997.0000,9997.0000,86.1478225129126,9,6
20675,77,8,1-77-2021-008-02,2,1,1,5,4th Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,86.1478225129126,9,6
20675,77,8,1-77-2021-008-02,2,1,1,2,1st Prior Event,1,6424,0,97,9997.0000,1,9997.0000,-53.2910,214.5000,997.0000,9997.0000,86.1478225129126,9,6
20675,77,8,1-77-2021-008-02,2,1,1,1,Most Recent Event,1,6424,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,86.1478225129126,9,6
20784,77,12,1-77-2021-012-06,6,2,1,1,Event Record 1,1,5159,0,1,9997.0000,1,9997.0000,-11.2700,254.0000,6.4400,250.0000,643.376709041985,9,6
20828,77,13,1-77-2021-013-05,5,1,1,1,Event Record 1,1,9769,0,1,9997.0000,1,9997.0000,-62.7900,144.0000,12.8800,84.0000,88.4478334889355,9,6
20893,77,15,1-77-2021-015-03,3,2,1,1,Most Recent Event,1,10143,0,1,9997.0000,1,9997.0000,-20.9300,180.0000,-14.0070,82.0000,923.86045666813,9,6
