CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
23511,20,133,1-20-2021-133-01,1,2,279,479,191,1960,161,94,107,163,6,3.5,2,4,0,0,128.195306962934,11,6
23512,20,134,1-20-2021-134-02,2,3,293,507,197,1969,164,102,111,999,4,2.5,2,4,0,0,86.5721118996035,11,6
23512,20,134,1-20-2021-134-02,2,4,357,571,189,2032,158,94,120,999,6,3.6,2,2,9,0,86.5721118996035,11,6
23512,20,134,1-20-2021-134-02,2,5,279,489,190,2150,164,108,102,999,6,3.5,2,4,9,0,86.5721118996035,11,6
23512,20,134,1-20-2021-134-02,2,6,276,459,178,1815,150,78,106,152,6,3.0,2,2,0,0,86.5721118996035,11,6
23512,20,134,1-20-2021-134-02,2,7,310,514,169,1594,150,82,122,999,6,3.4,9,3,9,0,86.5721118996035,11,6
23512,20,134,1-20-2021-134-02,2,2,279,472,183,1749,158,91,102,999,4,2.0,2,4,0,0,86.5721118996035,11,6
23514,29,82,1-29-2021-082-09,9,1,320,512,178,1625,148,85,108,156,6,4.0,2,3,0,0,130.42947473478,2,6
23515,26,140,1-26-2021-140-07,7,1,278,484,180,1437,154,97,109,142,4,2.5,2,1,0,0,1034.87233934582,10,6
23515,26,140,1-26-2021-140-07,7,2,260,454,176,1260,152,94,100,128,4,1.8,2,9,9,0,1034.87233934582,10,6
23517,26,142,1-26-2021-142-02,2,1,270,463,184,1550,160,93,100,165,4,2.5,2,9,9,0,14.4738277659613,10,6
23517,26,142,1-26-2021-142-02,2,2,264,440,182,1505,158,88,88,165,4,2.4,2,1,0,0,14.4738277659613,10,6
23520,21,133,1-21-2021-133-10,10,1,259,449,172,1225,149,92,98,999,4,2.0,9,1,9,0,9078.20292983962,11,6
23520,21,133,1-21-2021-133-10,10,3,326,540,189,1833,158,94,120,999,6,3.6,2,2,9,0,9078.20292983962,11,6
23522,30,94,1-30-2021-094-03,3,1,280,493,185,1523,157,100,114,999,4,2.4,2,9,9,0,1645.52148833621,10,6
23522,30,94,1-30-2021-094-03,3,2,404,600,205,2233,180,95,101,180,6,3.6,2,1,0,0,1645.52148833621,10,6
23522,30,94,1-30-2021-094-03,3,3,283,490,185,1545,161,97,112,999,4,2.5,9,1,9,0,1645.52148833621,10,6
23523,26,144,1-26-2021-144-04,4,1,284,469,181,1625,158,79,106,999,4,2.0,9,9,9,0,640.981175652571,10,6
23525,31,75,1-31-2021-075-09,9,1,338,534,178,1750,999,77,119,170,8,5.0,2,2,0,1,263.104368319194,6,6
23526,31,76,1-31-2021-076-03,3,1,400,618,203,2890,173,100,117,999,8,6.0,2,3,9,0,227.863878959868,6,6
23526,31,76,1-31-2021-076-03,3,2,357,574,201,2336,173,102,116,178,8,5.7,2,3,0,1,227.863878959868,6,6
23526,31,76,1-31-2021-076-03,3,3,271,446,175,1380,153,90,85,999,4,1.8,9,9,9,0,227.863878959868,6,6
23527,28,81,1-28-2021-081-03,3,1,365,573,203,2372,174,100,108,168,8,5.3,2,3,0,1,56.9949060798534,3,6
23528,26,145,1-26-2021-145-03,3,1,283,488,191,1462,160,94,112,154,4,2.0,2,1,0,0,199.156018478873,10,6
23529,21,134,1-21-2021-134-02,2,1,273,458,180,1656,152,82,104,999,6,2.5,9,3,9,0,14.0901117904909,11,6
23529,21,134,1-21-2021-134-02,2,2,289,489,183,1735,158,100,100,999,4,2.4,2,1,9,0,14.0901117904909,11,6
23530,29,83,1-29-2021-083-07,7,1,267,466,181,1475,154,96,103,168,4,2.4,2,1,0,0,102.089695968897,2,6
23530,29,83,1-29-2021-083-07,7,2,267,456,175,1236,151,93,96,999,4,1.8,9,1,9,0,102.089695968897,2,6
23531,66,80,1-66-2021-080-09,9,1,250,411,170,1121,149,92,70,138,4,1.5,1,1,0,0,339.731251018427,6,6
23532,16,87,1-16-2021-087-02,2,1,262,449,174,1194,153,88,99,136,4,1.6,2,1,0,0,18.934323890091,5,6
23532,16,87,1-16-2021-087-02,2,2,278,487,183,1453,159,97,112,152,4,2.5,2,1,0,0,18.934323890091,5,6
23533,76,68,1-76-2021-068-10,10,1,265,476,199,1551,147,99,112,999,4,2.5,9,4,9,0,20.6150526644035,3,6
23533,76,68,1-76-2021-068-10,10,2,284,482,193,1953,164,98,100,999,4,2.0,9,4,9,0,20.6150526644035,3,6
23534,13,92,1-13-2021-092-05,5,1,253,398,170,1286,148,79,66,150,4,1.8,2,1,0,0,88.3395992943799,7,6
23534,13,92,1-13-2021-092-05,5,2,279,477,188,1945,158,91,108,999,6,4.0,2,2,0,1,88.3395992943799,7,6
23536,77,80,1-77-2021-080-07,7,1,257,414,180,1492,158,83,73,160,4,1.6,1,1,0,0,2632.09338002327,9,6
23536,77,80,1-77-2021-080-07,7,2,330,570,204,2620,173,103,137,999,8,5.3,2,3,9,0,2632.09338002327,9,6
23537,77,81,1-77-2021-081-10,10,1,312,520,173,1425,139,90,118,150,6,4.3,2,2,0,1,9458.55895139452,9,6
23539,54,66,1-54-2021-066-04,4,1,285,484,192,1700,163,92,107,160,6,3.6,2,2,0,0,222.817718054871,9,6
23539,54,66,1-54-2021-066-04,4,2,290,499,196,2049,167,100,109,170,6,3.5,2,1,0,0,222.817718054871,9,6
23540,59,57,1-59-2021-057-06,6,1,269,454,184,1693,157,93,92,158,4,1.6,2,1,0,0,497.228362958192,6,6
23540,59,57,1-59-2021-057-06,6,2,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,497.228362958192,6,6
23542,17,80,1-17-2021-080-02,2,1,275,486,190,1655,159,101,111,172,4,2.5,2,4,0,0,94.4134408642403,4,6
23545,12,48,1-12-2021-048-03,3,1,269,459,185,1528,161,92,99,160,4,2.5,2,1,0,0,858.538558365099,9,6
23546,19,148,1-19-2021-148-02,2,1,368,584,203,2081,172,96,120,999,6,2.7,2,3,9,0,47.1230765782335,9,6
23546,19,148,1-19-2021-148-02,2,2,249,406,172,1151,146,85,72,165,4,1.6,2,1,0,0,47.1230765782335,9,6
23547,19,149,1-19-2021-149-07,7,1,280,467,181,1570,155,84,104,160,6,3.5,2,2,0,1,713.222906088109,9,6
