CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
22241,24,86,1-24-2021-086-06,6,1,1,1,1,1,88,8,88,8,535.71999285377,1,6
22329,24,92,1-24-2021-092-03,3,1,1,1,1,1,88,8,88,8,331.375464650708,1,6
20393,19,3,1-19-2021-003-07,7,1,1,1,1,1,88,8,88,8,676.965919523765,9,6
20448,19,7,1-19-2021-007-10,10,1,1,1,1,1,88,8,88,8,1465.68041376807,9,6
20543,19,12,1-19-2021-012-10,10,1,1,1,1,1,88,8,88,8,1800.26627787226,9,6
20635,19,13,1-19-2021-013-08,8,1,1,1,1,1,88,8,88,8,122.510544620899,9,6
20637,19,15,1-19-2021-015-09,9,1,1,1,1,1,88,8,88,8,726.878563756466,9,6
24364,19,189,1-19-2021-189-04,4,2,1,1,1,1,88,8,88,8,349.253532086379,9,6
24428,19,192,1-19-2021-192-04,4,1,1,1,1,1,88,8,88,8,184.539744109971,9,6
24428,19,192,1-19-2021-192-04,4,2,1,1,1,1,88,8,88,8,184.539744109971,9,6
24144,19,176,1-19-2021-176-08,8,1,1,1,1,1,88,8,88,8,114.631622250087,9,6
24146,19,178,1-19-2021-178-03,3,2,1,1,1,1,88,8,88,8,109.085903921109,9,6
24225,19,181,1-19-2021-181-03,3,1,1,1,1,1,88,8,88,8,72.238654332631,9,6
24227,19,183,1-19-2021-183-03,3,1,1,1,1,1,88,8,88,8,72.238654332631,9,6
24298,19,185,1-19-2021-185-07,7,1,1,1,1,1,88,8,88,8,750.858026337319,9,6
24363,19,188,1-19-2021-188-04,4,1,1,1,1,1,88,8,88,8,349.253532086379,9,6
23789,19,164,1-19-2021-164-07,7,2,1,1,1,1,88,8,88,8,874.315282408141,9,6
23924,19,169,1-19-2021-169-04,4,1,1,1,1,1,88,8,88,8,258.450931126761,9,6
23926,19,171,1-19-2021-171-06,6,1,1,1,1,1,88,8,88,8,154.788687455151,9,6
23926,19,171,1-19-2021-171-06,6,2,1,1,1,1,88,8,88,8,154.788687455151,9,6
24008,19,173,1-19-2021-173-05,5,1,1,1,1,1,88,8,88,8,90.0313489330694,9,6
24008,19,173,1-19-2021-173-05,5,2,1,1,1,1,88,8,88,8,90.0313489330694,9,6
23549,19,151,1-19-2021-151-03,3,1,1,1,1,1,88,8,88,8,123.875035165046,9,6
23630,19,155,1-19-2021-155-07,7,1,1,1,1,1,88,8,88,8,543.815098973205,9,6
23708,19,158,1-19-2021-158-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
23787,19,162,1-19-2021-162-04,4,2,1,1,1,1,88,8,88,8,515.654258594524,9,6
23787,19,162,1-19-2021-162-04,4,4,1,1,1,1,88,8,88,8,515.654258594524,9,6
23297,19,138,1-19-2021-138-02,2,2,1,1,1,1,88,8,88,8,47.1230765782335,9,6
23383,19,140,1-19-2021-140-07,7,1,1,1,1,1,88,8,88,8,734.68221031216,9,6
23470,19,145,1-19-2021-145-05,5,2,1,1,1,1,88,8,88,8,47.5090336657469,9,6
23472,19,147,1-19-2021-147-04,4,1,1,1,1,1,88,8,88,8,561.808823407194,9,6
23547,19,149,1-19-2021-149-07,7,1,1,1,1,1,88,8,88,8,713.222906088109,9,6
23217,19,132,1-19-2021-132-03,3,1,1,1,1,1,88,8,88,8,77.6700243131529,9,6
23220,19,135,1-19-2021-135-04,4,3,1,1,1,1,88,8,88,8,263.745751304814,9,6
23220,19,135,1-19-2021-135-04,4,1,1,1,1,1,88,8,88,8,263.745751304814,9,6
23220,19,135,1-19-2021-135-04,4,2,1,1,1,1,88,8,88,8,263.745751304814,9,6
23296,19,137,1-19-2021-137-08,8,1,1,4,1,1,88,8,88,8,542.029024329303,9,6
23297,19,138,1-19-2021-138-02,2,1,1,1,1,1,88,8,88,8,47.1230765782335,9,6
23064,19,124,1-19-2021-124-04,4,2,1,1,1,1,88,8,88,8,146.756324070102,9,6
23064,19,124,1-19-2021-124-04,4,1,1,1,1,1,88,8,88,8,146.756324070102,9,6
23067,19,127,1-19-2021-127-09,9,1,1,1,1,1,88,8,88,8,269.456701127815,9,6
23182,19,129,1-19-2021-129-04,4,2,1,1,1,1,88,8,88,8,390.209979080811,9,6
23183,19,130,1-19-2021-130-07,7,1,1,1,1,1,88,8,88,8,661.618792770962,9,6
23183,19,130,1-19-2021-130-07,7,2,1,1,1,1,88,8,88,8,661.618792770962,9,6
22566,19,106,1-19-2021-106-03,3,1,1,1,1,1,88,8,88,8,118.873997468876,9,6
22664,19,108,1-19-2021-108-03,3,2,1,1,1,1,88,8,88,8,99.7541955154299,9,6
22667,19,111,1-19-2021-111-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
22751,19,114,1-19-2021-114-08,8,1,1,1,1,1,88,8,88,8,82.3773758929442,9,6
22752,19,115,1-19-2021-115-06,6,2,1,1,1,1,88,8,88,8,159.428256733532,9,6
22976,19,121,1-19-2021-121-02,2,1,1,1,1,1,88,8,88,8,47.1230765782335,9,6
22324,19,96,1-19-2021-096-04,4,2,1,1,1,1,88,8,88,8,295.080448494464,9,6
22432,19,99,1-19-2021-099-07,7,2,1,1,1,1,88,8,88,8,4085.05841969644,9,6
22484,19,101,1-19-2021-101-04,4,1,1,1,1,1,88,8,88,8,677.664153124772,9,6
22484,19,101,1-19-2021-101-04,4,2,1,1,1,1,88,8,88,8,677.664153124772,9,6
22565,19,105,1-19-2021-105-03,3,1,1,1,1,1,88,8,88,8,118.873997468876,9,6
22565,19,105,1-19-2021-105-03,3,2,1,1,1,1,88,8,88,8,118.873997468876,9,6
22235,19,90,1-19-2021-090-05,5,1,1,1,1,1,88,8,88,8,47.5090336657469,9,6
22236,19,91,1-19-2021-091-03,3,1,1,1,1,1,88,8,88,8,145.880139410323,9,6
22236,19,91,1-19-2021-091-03,3,2,1,1,1,1,88,8,88,8,145.880139410323,9,6
22322,19,94,1-19-2021-094-03,3,1,1,1,1,1,88,8,88,8,86.8977244013061,9,6
22322,19,94,1-19-2021-094-03,3,2,1,1,1,1,88,8,88,8,86.8977244013061,9,6
22323,19,95,1-19-2021-095-03,3,1,1,1,1,1,88,8,88,8,86.8977244013061,9,6
21968,19,78,1-19-2021-078-09,9,1,1,1,1,1,88,8,88,8,1389.20107560057,9,6
21969,19,79,1-19-2021-079-01,1,2,1,1,1,1,88,8,88,8,54.6039151382465,9,6
22109,19,83,1-19-2021-083-03,3,1,1,1,1,1,88,8,88,8,263.961648072211,9,6
22110,19,84,1-19-2021-084-08,8,2,1,1,1,1,88,8,88,8,277.380952466663,9,6
22182,19,85,1-19-2021-085-06,6,1,1,1,1,1,88,8,88,8,118.331921758663,9,6
22182,19,85,1-19-2021-085-06,6,2,1,1,1,1,88,8,88,8,118.331921758663,9,6
21642,19,64,1-19-2021-064-06,6,1,1,1,1,1,88,8,88,8,168.350055870589,9,6
21725,19,66,1-19-2021-066-10,10,2,1,1,1,1,88,8,88,8,2476.84283442919,9,6
21728,19,69,1-19-2021-069-10,10,1,1,1,1,1,88,8,88,8,2476.84283442919,9,6
21815,19,73,1-19-2021-073-06,6,1,1,1,1,1,88,8,88,8,348.005935855538,9,6
21815,19,73,1-19-2021-073-06,6,2,1,1,1,1,88,8,88,8,348.005935855538,9,6
21888,19,75,1-19-2021-075-04,4,1,1,1,1,1,88,8,88,8,355.724006734482,9,6
21307,19,49,1-19-2021-049-08,8,2,1,1,1,1,88,8,88,8,160.967819848642,9,6
21476,19,54,1-19-2021-054-02,2,2,1,1,1,1,88,8,88,8,47.1230765782335,9,6
21559,19,59,1-19-2021-059-03,3,1,1,1,1,1,88,8,88,8,51.8982004592346,9,6
21561,19,61,1-19-2021-061-04,4,1,1,1,1,1,88,8,88,8,156.056762535263,9,6
21641,19,63,1-19-2021-063-03,3,1,1,1,1,1,88,8,88,8,82.7789888565403,9,6
21641,19,63,1-19-2021-063-03,3,2,1,1,1,1,88,8,88,8,82.7789888565403,9,6
20958,19,32,1-19-2021-032-06,6,1,1,1,1,1,88,8,88,8,91.8451697183037,9,6
20958,19,32,1-19-2021-032-06,6,2,1,1,1,1,88,8,88,8,91.8451697183037,9,6
21047,19,34,1-19-2021-034-08,8,1,1,1,1,1,88,8,88,8,82.230173209408,9,6
21050,19,37,1-19-2021-037-07,7,1,1,1,1,1,88,8,88,8,450.543670911327,9,6
21130,19,40,1-19-2021-040-04,4,2,1,1,1,1,88,8,88,8,379.88300325224,9,6
